ID,Prediction,Probability
2103,ANTAGONIST,0.42105263157894735
2104,AGONIST,0.7777777777777778
2105,ANTAGONIST,0.3181818181818182
2106,ANTAGONIST,0.4666666666666667
2107,AGONIST,0.8
2108,AGONIST,0.7142857142857143
2109,ANTAGONIST,0.5
2110,AGONIST,0.65
2111,AGONIST,0.7619047619047619
2112,ANTAGONIST,0.4375
2113,AGONIST,0.7
2114,ANTAGONIST,0.23076923076923078
2115,AGONIST,0.7333333333333333
2116,ANTAGONIST,0.38095238095238093
2117,AGONIST,0.75
2118,ANTAGONIST,0.42105263157894735
2119,AGONIST,0.75
2120,AGONIST,0.6666666666666666
2121,ANTAGONIST,0.42857142857142855
2122,AGONIST,0.7368421052631579
2123,ANTAGONIST,0.45454545454545453
2124,AGONIST,0.55
2125,AGONIST,0.6428571428571429
2126,ANTAGONIST,0.42857142857142855
2127,AGONIST,0.6666666666666666
2128,AGONIST,1.0
2129,AGONIST,0.5454545454545454
2130,ANTAGONIST,0.3333333333333333
2131,AGONIST,0.5833333333333334
2132,AGONIST,0.75
2133,ANTAGONIST,0.3333333333333333
2134,AGONIST,0.75
2135,AGONIST,0.8333333333333334
2136,AGONIST,1.0
2137,AGONIST,0.8
2138,ANTAGONIST,0.375
2139,AGONIST,0.8
2140,AGONIST,0.7777777777777778
2141,AGONIST,0.75
2142,AGONIST,1.0
2143,AGONIST,0.8
2144,AGONIST,0.7142857142857143
2145,AGONIST,0.9
2146,AGONIST,1.0
2147,AGONIST,1.0
2148,AGONIST,1.0
2149,AGONIST,1.0
